"region","Crash.ID","State","Month","Year","Dayweek","Time","Crash.Type","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","Road.User","Gender","Age","National.Remoteness.Areas","SA4.Name.2016","National.LGA.Name.2017","National.Road.Type","Christmas.Period","Easter.Period","Age.Group","Day.of.week","Time.of.day","city","lat","long","latc","longc","initialZoom"
"New South Wales",20151291,"NSW","Oct",2015,"Thursday","20:05","Multiple","No","No","No","60","Pedal cyclist","Male",54,"Major Cities of Australia","Illawarra","Wollongong","Arterial Road","No","No","40_to_64","Weekday","Night","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20191165,"NSW","Apr",2019,"Friday","13:45","Multiple","No","No","No","70","Passenger","Male",92,"Major Cities of Australia","Sydney - Ryde","Hornsby","National or State Highway","No","Yes","75_or_older","Weekday","Day","Hornsby",-33.71,151.1,-35.473469,149.012375,5
"New South Wales",20181325,"NSW","Aug",2018,"Tuesday","15:40","Multiple","No","No","No","80","Driver","Male",57,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Arterial Road","No","No","40_to_64","Weekday","Day","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20181253,"NSW","Aug",2018,"Monday","21:20","Multiple","No","No","No","60","Pedal cyclist","Male",19,"Major Cities of Australia","Sydney - Outer West and Blue Mountains","Penrith","Local Road","No","No","17_to_25","Weekday","Night","Penrith",-33.755476,150.678551,-35.473469,149.012375,5
"New South Wales",20181001,"NSW","Aug",2018,"Monday","16:30","Multiple","No","No","No","80","Motorcycle rider","Male",39,"Inner Regional Australia","Richmond - Tweed","Ballina","Sub-arterial Road","No","No","26_to_39","Weekday","Day","Ballina",-28.865483,153.532475,-35.473469,149.012375,5
"New South Wales",20171007,"NSW","Jun",2017,"Saturday","15:30","Single","No","No","No","70","Pedal cyclist","Male",45,"Outer Regional Australia","Mid North Coast","Kempsey","Local Road","No","No","40_to_64","Weekend","Day","Kempsey",-30.375791,153.019648,-35.473469,149.012375,5
"New South Wales",20191147,"NSW","Apr",2019,"Monday","7:15","Multiple","No","Yes","No","100","Driver","Female",25,"Outer Regional Australia","Capital Region","Eurobodalla","National or State Highway","No","No","17_to_25","Weekday","Day","Eurobodalla",-36.127663,149.792292,-35.473469,149.012375,5
"New South Wales",20171236,"NSW","Dec",2017,"Saturday","22:13","Multiple","No","No","No","90","Driver","Male",35,"Major Cities of Australia","Sydney - Outer West and Blue Mountains","Penrith","National or State Highway","No","No","26_to_39","Weekend","Night","Penrith",-33.755476,150.678551,-35.473469,149.012375,5
"New South Wales",20161071,"NSW","Oct",2016,"Monday","11:03","Multiple","No","No","No","50","Motorcycle rider","Male",14,"Major Cities of Australia","Sydney - Blacktown","Blacktown","Local Road","No","No","0_to_16","Weekday","Day","Blacktown",-33.783751,150.900547,-35.473469,149.012375,5
"New South Wales",20171190,"NSW","Feb",2017,"Tuesday","9:48","Multiple","No","Yes","No","110","Driver","Female",39,"Outer Regional Australia","Far West and Orana","Narromine","National or State Highway","No","No","26_to_39","Weekday","Day","Narromine",-32.255249,148.110385,-35.473469,149.012375,5
"New South Wales",20171165,"NSW","Dec",2017,"Friday","18:00","Single","No","No","No","100","Motorcycle rider","Male",55,"Outer Regional Australia","New England and North West","Inverell","Arterial Road","No","No","40_to_64","Weekend","Night","Inverell",-29.630052,151.162025,-35.473469,149.012375,5
"New South Wales",20161140,"NSW","Jun",2016,"Tuesday","13:30","Multiple","No","No","Yes","100","Driver","Male",58,"Outer Regional Australia","New England and North West","Uralla","Arterial Road","No","No","40_to_64","Weekday","Day","Uralla",-30.540297,151.297519,-35.473469,149.012375,5
"New South Wales",20171181,"NSW","Aug",2017,"Thursday","11:30","Multiple","No","No","No","60","Driver","Male",45,"Major Cities of Australia","Central Coast","Central Coast","Arterial Road","No","No","40_to_64","Weekday","Day","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20191254,"NSW","Feb",2019,"Thursday","9:57","Multiple","No","Yes","No","100","Passenger","Female",80,"Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","75_or_older","Weekday","Day","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20171013,"NSW","Feb",2017,"Sunday","12:50","Single","No","No","No","60","Driver","Male",22,"Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","Arterial Road","No","No","17_to_25","Weekend","Day","Cessnock",-32.977861,151.317476,-35.473469,149.012375,5
"New South Wales",20161116,"NSW","Oct",2016,"Thursday","13:33","Multiple","No","Yes","Yes","80","Driver","Male",49,"Major Cities of Australia","Sydney - Outer West and Blue Mountains","Penrith","Collector Road","No","No","40_to_64","Weekday","Day","Penrith",-33.755476,150.678551,-35.473469,149.012375,5
"New South Wales",20181239,"NSW","Nov",2018,"Saturday","19:45","Pedestrian","No","No","No","50","Pedestrian","Male",18,"Major Cities of Australia","Central Coast","Central Coast","Collector Road","No","No","17_to_25","Weekend","Night","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20161064,"NSW","Jun",2016,"Thursday","17:40","Pedestrian","No","No","No","100","Pedestrian","Male",52,"Outer Regional Australia","Far West and Orana","Warrumbungle","Arterial Road","No","No","40_to_64","Weekday","Day","Warrumbungle",-31.298962,148.581142,-35.473469,149.012375,5
"New South Wales",20171093,"NSW","Aug",2017,"Wednesday","7:35","Pedestrian","No","No","No","60","Pedestrian","Female",75,"Major Cities of Australia","Sydney - Parramatta","Parramatta","Local Road","No","No","75_or_older","Weekday","Day","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20171311,"NSW","Dec",2017,"Monday","10:15","Multiple","No","No","No","70","Passenger","Female",91,"Major Cities of Australia","Central Coast","Central Coast","National or State Highway","Yes","No","75_or_older","Weekday","Day","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20181231,"NSW","May",2018,"Saturday","2:50","Single","No","No","No","50","Driver","Male",37,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Willoughby","Arterial Road","No","No","26_to_39","Weekend","Night","Willoughby",-33.800881,151.202715,-35.473469,149.012375,5
"New South Wales",20171334,"NSW","Nov",2017,"Sunday","0:10","Multiple","No","No","No","70","Motorcycle rider","Male",42,"Major Cities of Australia","Central Coast","Central Coast","Arterial Road","No","No","40_to_64","Weekend","Night","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20181286,"NSW","May",2018,"Wednesday","23:20","Single","No","No","No","60","Driver","Male",19,"Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","17_to_25","Weekday","Night","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20171035,"NSW","Nov",2017,"Friday","4:06","Single","No","No","No","100","Passenger","Male",35,"Outer Regional Australia","New England and North West","Narrabri","National or State Highway","No","No","26_to_39","Weekday","Night","Narrabri",-30.413331,149.767538,-35.473469,149.012375,5
"New South Wales",20181042,"NSW","Oct",2018,"Wednesday","13:45","Pedestrian","No","No","No","50","Pedestrian","Male",79,"Major Cities of Australia","Sydney - City and Inner South","Sydney","Arterial Road","No","No","75_or_older","Weekday","Day","Sydney",-33.79,151.27,-35.473469,149.012375,5
"New South Wales",20171273,"NSW","Jan",2017,"Monday","14:28","Multiple","No","No","No","100","Driver","Male",34,"Inner Regional Australia","Hunter Valley exc Newcastle","Muswellbrook","National or State Highway","No","No","26_to_39","Weekday","Day","Muswellbrook",-32.248568,150.701949,-35.473469,149.012375,5
"New South Wales",20191232,"NSW","Mar",2019,"Wednesday","14:00","Pedestrian","No","No","Yes","110","Pedestrian","Male",58,"Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","National or State Highway","No","No","40_to_64","Weekday","Day","Cessnock",-32.977861,151.317476,-35.473469,149.012375,5
"New South Wales",20181100,"NSW","Aug",2018,"Tuesday","23:20","Single","No","No","No","70","Driver","Male",20,"Major Cities of Australia","Sydney - Inner West","Canada Bay","Arterial Road","No","No","17_to_25","Weekday","Night","Canada Bay",-33.866044,151.133865,-35.473469,149.012375,5
"New South Wales",20161013,"NSW","Feb",2016,"Wednesday","12:45","Single","No","No","No","100","Driver","Male",73,"Outer Regional Australia","Mid North Coast","Kempsey","Arterial Road","No","No","65_to_74","Weekday","Day","Kempsey",-30.375791,153.019648,-35.473469,149.012375,5
"New South Wales",20181120,"NSW","Feb",2018,"Thursday","12:30","Multiple","No","No","No","50","Driver","Female",83,"Inner Regional Australia","Central West","Blayney","National or State Highway","No","No","75_or_older","Weekday","Day","Blayney",-33.571335,149.267666,-35.473469,149.012375,5
"New South Wales",20171174,"NSW","May",2017,"Thursday","17:25","Single","No","No","No","50","Pedal cyclist","Male",67,"Major Cities of Australia","Sydney - Outer South West","Camden","Local Road","No","No","65_to_74","Weekday","Day","Camden",-34.042913,150.525292,-35.473469,149.012375,5
"New South Wales",20191218,"NSW","Jan",2019,"Thursday","13:30","Single","No","No","No","110","Passenger","Female",72,"Outer Regional Australia","New England and North West","Walcha","National or State Highway","Yes","No","65_to_74","Weekday","Day","Walcha",-31.145898,151.762627,-35.473469,149.012375,5
"New South Wales",20191206,"NSW","Jun",2019,"Thursday","17:30","Pedestrian","No","No","No","60","Pedestrian","Male",88,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","National or State Highway","No","No","75_or_older","Weekday","Day","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20171130,"NSW","Jan",2017,"Friday","13:55","Multiple","No","No","Yes","90","Driver","Male",17,"Inner Regional Australia","Hunter Valley exc Newcastle","Singleton","National or State Highway","No","No","17_to_25","Weekday","Day","Singleton",-32.760486,150.972137,-35.473469,149.012375,5
"New South Wales",20171330,"NSW","Jan",2017,"Wednesday","11:55","Multiple","Yes","No","Yes","100","Passenger","Female",78,"Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","75_or_older","Weekday","Day","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20191060,"NSW","Mar",2019,"Friday","19:20","Multiple","No","No","No","100","Motorcycle rider","Male",50,"Inner Regional Australia","Hunter Valley exc Newcastle","Singleton","National or State Highway","No","No","40_to_64","Weekend","Night","Singleton",-32.760486,150.972137,-35.473469,149.012375,5
"New South Wales",20151156,"NSW","Sep",2015,"Monday","10:40","Pedestrian","No","No","No","10","Pedestrian","Female",72,"Major Cities of Australia","Sydney - North Sydney and Hornsby","North Sydney","Local Road","No","No","65_to_74","Weekday","Day","North Sydney",-33.8,151.1,-35.473469,149.012375,5
"New South Wales",20171150,"NSW","Aug",2017,"Saturday","15:50","Single","No","No","No","100","Passenger","Female",46,"Remote Australia","Murray","Wentworth","Local Road","No","No","40_to_64","Weekend","Day","Wentworth",-33.466819,141.90794,-35.473469,149.012375,5
"New South Wales",20181213,"NSW","Aug",2018,"Thursday","4:30","Multiple","No","No","No","80","Driver","Male",72,"Major Cities of Australia","Central Coast","Central Coast","National or State Highway","No","No","65_to_74","Weekday","Night","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20171220,"NSW","May",2017,"Thursday","10:05","Multiple","No","Yes","Yes","80","Motorcycle rider","Male",40,"Major Cities of Australia","Sydney - Parramatta","Parramatta","National or State Highway","No","No","40_to_64","Weekday","Day","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20171121,"NSW","Jan",2017,"Wednesday","13:12","Multiple","No","No","No","60","Driver","Female",54,"Major Cities of Australia","Sydney - South West","Fairfield","Arterial Road","No","No","40_to_64","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20181210,"NSW","Oct",2018,"Saturday","9:30","Single","No","No","No","110","Driver","Male",35,"Remote Australia","Murray","Balranald","National or State Highway","No","No","26_to_39","Weekend","Day","Balranald",-34.329424,143.491656,-35.473469,149.012375,5
"New South Wales",20171121,"NSW","Jan",2017,"Wednesday","13:12","Multiple","No","No","No","60","Passenger","Female",75,"Major Cities of Australia","Sydney - South West","Fairfield","Arterial Road","No","No","75_or_older","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20171076,"NSW","Apr",2017,"Sunday","13:50","Multiple","No","No","Yes","80","Motorcycle rider","Male",25,"Outer Regional Australia","Richmond - Tweed","Kyogle","Arterial Road","No","No","17_to_25","Weekend","Day","Kyogle",-28.499375,152.88504,-35.473469,149.012375,5
"New South Wales",20171319,"NSW","Aug",2017,"Saturday","11:01","Single","No","No","No","90","Driver","Male",24,"Major Cities of Australia","Central Coast","Central Coast","Arterial Road","No","No","17_to_25","Weekend","Day","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20191101,"NSW","Mar",2019,"Saturday","16:50","Single","No","No","No","110","Driver","Male",47,"Inner Regional Australia","Sydney - North Sydney and Hornsby","Hornsby","National or State Highway","No","No","40_to_64","Weekend","Day","Hornsby",-33.71,151.1,-35.473469,149.012375,5
"New South Wales",20151286,"NSW","Sep",2015,"Sunday","9:20","Pedestrian","No","No","No","50","Pedestrian","Female",85,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Collector Road","No","No","75_or_older","Weekend","Day","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20171274,"NSW","Jan",2017,"Thursday","21:50","Single","No","No","No","100","Driver","Male",29,"Outer Regional Australia","Central West","Parkes","Arterial Road","No","No","26_to_39","Weekday","Night","Parkes",-33.035496,148.16819,-35.473469,149.012375,5
"New South Wales",20191056,"NSW","Mar",2019,"Wednesday","14:30","Single","No","No","No","50","Passenger","Male",80,"Major Cities of Australia","Sydney - Eastern Suburbs","Randwick","Collector Road","No","No","75_or_older","Weekday","Day","Randwick",-33.914832,151.239167,-35.473469,149.012375,5
"New South Wales",20171048,"NSW","Nov",2017,"Saturday","11:10","Pedestrian","No","No","No","40","Pedestrian","Female",62,"Inner Regional Australia","Illawarra","Kiama","Sub-arterial Road","No","No","40_to_64","Weekend","Day","Kiama",-34.645377,150.756883,-35.473469,149.012375,5
"New South Wales",20161299,"NSW","May",2016,"Tuesday","17:40","Pedestrian","No","No","No","80","Pedestrian","Male",75,"Major Cities of Australia","Sydney - Outer South West","Campbelltown","Arterial Road","No","No","75_or_older","Weekday","Day","Campbelltown",-34.194216,150.768408,-35.473469,149.012375,5
"New South Wales",20181072,"NSW","Jul",2018,"Tuesday","19:30","Pedestrian","No","No","No","100","Pedestrian","Male",23,"Major Cities of Australia","Sydney - Parramatta","Parramatta","National or State Highway","No","No","17_to_25","Weekday","Night","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20161065,"NSW","May",2016,"Tuesday","8:43","Multiple","No","Yes","No","90","Driver","Male",30,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","National or State Highway","No","No","26_to_39","Weekday","Day","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20181308,"NSW","Aug",2018,"Thursday","18:15","Single","No","No","No","50","Pedal cyclist","Male",64,"Major Cities of Australia","Sydney - Parramatta","Parramatta","Local Road","No","No","40_to_64","Weekday","Night","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20171136,"NSW","Jan",2017,"Tuesday","14:15","Multiple","No","Yes","Yes","100","Driver","Male",52,"Outer Regional Australia","Riverina","Leeton","Arterial Road","Yes","No","40_to_64","Weekday","Day","Leeton",-34.489867,146.373471,-35.473469,149.012375,5
"New South Wales",20161176,"NSW","Aug",2016,"Sunday","1:00","Single","No","No","No","80","Driver","Female",30,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Arterial Road","No","No","26_to_39","Weekend","Night","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20161108,"NSW","Aug",2016,"Saturday","22:10","Single","No","No","No","100","Driver","Female",66,"Inner Regional Australia","Central West","Cowra","National or State Highway","No","No","65_to_74","Weekend","Night","Cowra",-33.898505,148.664838,-35.473469,149.012375,5
"New South Wales",20151031,"NSW","May",2015,"Sunday","4:33","Single","No","No","No","80","Driver","Female",18,"Major Cities of Australia","Sydney - South West","Fairfield","Arterial Road","No","No","17_to_25","Weekend","Night","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20171008,"NSW","Oct",2017,"Friday","20:20","Single","No","No","No","100","Motorcycle rider","Male",57,"Outer Regional Australia","Far West and Orana","Warrumbungle","Sub-arterial Road","No","No","40_to_64","Weekend","Night","Warrumbungle",-31.298962,148.581142,-35.473469,149.012375,5
"New South Wales",20161106,"NSW","Jan",2016,"Saturday","0:30","Single","No","No","No","100","Passenger","Male",18,"Outer Regional Australia","Central West","Parkes","Arterial Road","Yes","No","17_to_25","Weekend","Night","Parkes",-33.035496,148.16819,-35.473469,149.012375,5
"New South Wales",20161314,"NSW","Aug",2016,"Sunday","12:00","Single","No","No","No","100","Motorcycle rider","Male",31,"Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","Sub-arterial Road","No","No","26_to_39","Weekend","Day","Cessnock",-32.977861,151.317476,-35.473469,149.012375,5
"New South Wales",20161073,"NSW","Apr",2016,"Tuesday","21:20","Multiple","No","No","No","40","Pedal cyclist","Male",79,"Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","75_or_older","Weekday","Night","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20151253,"NSW","May",2015,"Thursday","7:46","Multiple","No","Yes","No","60","Pedal cyclist","Male",36,"Major Cities of Australia","Sydney - Eastern Suburbs","Woollahra","Arterial Road","No","No","26_to_39","Weekday","Day","Woollahra",0,0,-35.473469,149.012375,5
"New South Wales",20151054,"NSW","Dec",2015,"Tuesday","19:05","Single","No","No","No","50","Motorcycle rider","Male",28,"Major Cities of Australia","Sydney - City and Inner South","Randwick","Local Road","Yes","No","26_to_39","Weekday","Night","Randwick",-33.914832,151.239167,-35.473469,149.012375,5
"New South Wales",20171180,"NSW","Oct",2017,"Monday","10:00","Multiple","No","No","No","50","Driver","Male",53,"Inner Regional Australia","Riverina","Wagga Wagga","Local Road","No","No","40_to_64","Weekday","Day","Wagga Wagga",-35.07459,147.376202,-35.473469,149.012375,5
"New South Wales",20151141,"NSW","Dec",2015,"Sunday","5:52","Single","No","No","No","110","Driver","Male",19,"Outer Regional Australia","New England and North West","Narrabri","National or State Highway","Yes","No","17_to_25","Weekend","Night","Narrabri",-30.413331,149.767538,-35.473469,149.012375,5
"New South Wales",20171037,"NSW","Jul",2017,"Wednesday","4:15","Pedestrian","No","No","No","100","Pedestrian","Male",43,"Inner Regional Australia","Hunter Valley exc Newcastle","Muswellbrook","National or State Highway","No","No","40_to_64","Weekday","Night","Muswellbrook",-32.248568,150.701949,-35.473469,149.012375,5
"New South Wales",20171060,"NSW","Jul",2017,"Wednesday","15:50","Pedestrian","No","No","No","50","Pedestrian","Male",3,"Major Cities of Australia","Sydney - Ryde","Ryde","Local Road","No","No","0_to_16","Weekday","Day","Ryde",-33.76,151.14,-35.473469,149.012375,5
"New South Wales",20151051,"NSW","Dec",2015,"Saturday","11:15","Single","No","No","No","80","Motorcycle rider","Male",56,"Major Cities of Australia","Hunter Valley exc Newcastle","Maitland","Sub-arterial Road","Yes","No","40_to_64","Weekend","Day","Maitland",-32.741737,151.543675,-35.473469,149.012375,5
"New South Wales",20181091,"NSW","Sep",2018,"Thursday","22:00","Single","No","No","No","100","Driver","Male",42,"Outer Regional Australia","Central West","Parkes","Arterial Road","No","No","40_to_64","Weekday","Night","Parkes",-33.035496,148.16819,-35.473469,149.012375,5
"New South Wales",20151205,"NSW","Dec",2015,"Monday","2:30","Multiple","No","No","No","60","Driver","Male",60,"Major Cities of Australia","Sydney - Blacktown","Blacktown","Collector Road","No","No","40_to_64","Weekend","Night","Blacktown",-33.783751,150.900547,-35.473469,149.012375,5
"New South Wales",20161303,"NSW","Dec",2016,"Thursday","20:45","Pedestrian","No","No","No","50","Pedestrian","Male",18,"Outer Regional Australia","New England and North West","Narrabri","Local Road","No","No","17_to_25","Weekday","Night","Narrabri",-30.413331,149.767538,-35.473469,149.012375,5
"New South Wales",20151115,"NSW","Aug",2015,"Saturday","20:57","Multiple","No","No","No","50","Driver","Male",14,"Major Cities of Australia","Sydney - Outer West and Blue Mountains","Penrith","Collector Road","No","No","0_to_16","Weekend","Night","Penrith",-33.755476,150.678551,-35.473469,149.012375,5
"New South Wales",20181029,"NSW","Apr",2018,"Saturday","14:40","Pedestrian","No","No","No","60","Pedestrian","Female",61,"Major Cities of Australia","Sydney - Ryde","Ryde","Arterial Road","No","No","40_to_64","Weekend","Day","Ryde",-33.76,151.14,-35.473469,149.012375,5
"New South Wales",20171333,"NSW","Jul",2017,"Thursday","9:40","Pedestrian","No","No","No","40","Pedestrian","Female",74,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Willoughby","Collector Road","No","No","65_to_74","Weekday","Day","Willoughby",-33.800881,151.202715,-35.473469,149.012375,5
"New South Wales",20191071,"NSW","Feb",2019,"Sunday","17:00","Single","No","No","No","110","Driver","Male",64,"Inner Regional Australia","Central West","Lithgow","National or State Highway","No","No","40_to_64","Weekend","Day","Lithgow",-33.310653,150.356874,-35.473469,149.012375,5
"New South Wales",20181135,"NSW","Jul",2018,"Sunday","17:45","Multiple","No","No","No","90","Passenger","Male",95,"Major Cities of Australia","Sydney - Parramatta","Parramatta","National or State Highway","No","No","75_or_older","Weekend","Day","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20171198,"NSW","Sep",2017,"Monday","1:25","Single","No","No","No","60","Driver","Male",19,"Inner Regional Australia","Murray","Albury","Local Road","No","No","17_to_25","Weekend","Night","Albury",-36.016196,147.026549,-35.473469,149.012375,5
"New South Wales",20161040,"NSW","Apr",2016,"Sunday","14:00","Single","No","No","No","80","Passenger","Male",13,"Inner Regional Australia","Riverina","Lockhart","Local Road","No","No","0_to_16","Weekend","Day","Lockhart",-35.356021,146.767674,-35.473469,149.012375,5
"New South Wales",20161342,"NSW","Apr",2016,"Friday","15:30","Multiple","No","Yes","No","70","Motorcycle rider","Male",22,"Major Cities of Australia","Sydney - Parramatta","Fairfield","Arterial Road","No","No","17_to_25","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20161129,"NSW","Dec",2016,"Sunday","3:00","Single","No","No","No","80","Driver","Male",38,"Major Cities of Australia","Sydney - South West","Liverpool","Collector Road","No","No","26_to_39","Weekend","Night","Liverpool",-33.89,151.1,-35.473469,149.012375,5
"New South Wales",20171045,"NSW","Apr",2017,"Tuesday","10:15","Multiple","No","No","Yes","100","Passenger","Female",52,"Outer Regional Australia","Riverina","Narrandera","National or State Highway","No","No","40_to_64","Weekday","Day","Narrandera",-34.902108,146.303599,-35.473469,149.012375,5
"New South Wales",20161054,"NSW","Dec",2016,"Saturday","0:52","Multiple","No","No","No","60","Driver","Male",76,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Lane Cove","Local Road","No","No","75_or_older","Weekend","Night","Lane Cove",-33.79,151.19,-35.473469,149.012375,5
"New South Wales",20181309,"NSW","Jan",2018,"Thursday","17:30","Single","No","No","No","100","Driver","Male",74,"Outer Regional Australia","New England and North West","Gunnedah","National or State Highway","No","No","65_to_74","Weekday","Day","Gunnedah",-31.046117,150.199154,-35.473469,149.012375,5
"New South Wales",20161068,"NSW","Apr",2016,"Saturday","2:40","Multiple","No","No","No","100","Driver","Male",71,"Major Cities of Australia","Sydney - Sutherland","Sutherland","Arterial Road","No","No","65_to_74","Weekend","Night","Sutherland",-34.02,151.06,-35.473469,149.012375,5
"New South Wales",20191164,"NSW","May",2019,"Thursday","16:25","Pedestrian","No","Yes","No","50","Pedestrian","Male",69,"Inner Regional Australia","Illawarra","Kiama","Local Road","No","No","65_to_74","Weekday","Day","Kiama",-34.645377,150.756883,-35.473469,149.012375,5
"New South Wales",20171006,"NSW","Oct",2017,"Saturday","22:30","Single","No","No","No","60","Passenger","Male",37,"Major Cities of Australia","Sydney - South West","Camden","Sub-arterial Road","No","No","26_to_39","Weekend","Night","Camden",-34.042913,150.525292,-35.473469,149.012375,5
"New South Wales",20161261,"NSW","Nov",2016,"Monday","6:30","Multiple","No","Yes","No","80","Driver","Male",37,"Major Cities of Australia","Central Coast","Central Coast","Sub-arterial Road","No","No","26_to_39","Weekday","Day","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20151194,"NSW","Jan",2015,"Friday","23:59","Single","No","No","No","50","Passenger","Female",17,"Major Cities of Australia","Hunter Valley exc Newcastle","Maitland","Local Road","No","No","17_to_25","Weekend","Night","Maitland",-32.741737,151.543675,-35.473469,149.012375,5
"New South Wales",20161063,"NSW","Jul",2016,"Saturday","5:00","Single","No","No","No","100","Driver","Male",18,"Outer Regional Australia","Central West","Forbes","Sub-arterial Road","No","No","17_to_25","Weekend","Night","Forbes",-33.476768,147.811688,-35.473469,149.012375,5
"New South Wales",20161035,"NSW","Nov",2016,"Wednesday","9:20","Multiple","No","No","No","100","Pedal cyclist","Male",59,"Inner Regional Australia","Richmond - Tweed","Ballina","National or State Highway","No","No","40_to_64","Weekday","Day","Ballina",-28.865483,153.532475,-35.473469,149.012375,5
"New South Wales",20171133,"NSW","Sep",2017,"Thursday","20:00","Multiple","No","No","No","50","Driver","Male",42,"Major Cities of Australia","Illawarra","Wollongong","Collector Road","No","No","40_to_64","Weekday","Night","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20161235,"NSW","Nov",2016,"Monday","11:50","Single","No","No","No","50","Driver","Male",85,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Local Road","No","No","75_or_older","Weekday","Day","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20171066,"NSW","Nov",2017,"Wednesday","14:50","Multiple","No","No","No","80","Driver","Male",82,"Inner Regional Australia","Sydney - Sutherland","Sutherland","Sub-arterial Road","No","No","75_or_older","Weekday","Day","Sutherland",-34.02,151.06,-35.473469,149.012375,5
"New South Wales",20161204,"NSW","Jul",2016,"Friday","6:30","Single","No","No","No","100","Driver","Female",18,"Inner Regional Australia","Hunter Valley exc Newcastle","Dungog","Arterial Road","No","No","17_to_25","Weekday","Day","Dungog",-32.239696,151.685456,-35.473469,149.012375,5
"New South Wales",20171044,"NSW","Mar",2017,"Monday","3:50","Multiple","No","Yes","No","60","Motorcycle rider","Male",35,"Major Cities of Australia","Sydney - Blacktown","Blacktown","Local Road","No","No","26_to_39","Weekend","Night","Blacktown",-33.783751,150.900547,-35.473469,149.012375,5
"New South Wales",20171211,"NSW","Sep",2017,"Thursday","15:10","Multiple","No","No","No","80","Motorcycle rider","Male",64,"Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","Arterial Road","No","No","40_to_64","Weekday","Day","Cessnock",-32.977861,151.317476,-35.473469,149.012375,5
"New South Wales",20181273,"NSW","Jun",2018,"Tuesday","12:45","Single","No","No","No","110","Driver","Male",33,"Inner Regional Australia","Riverina","Wagga Wagga","National or State Highway","No","No","26_to_39","Weekday","Day","Wagga Wagga",-35.07459,147.376202,-35.473469,149.012375,5
"New South Wales",20171254,"NSW","Sep",2017,"Wednesday","13:30","Single","No","No","No","100","Passenger","Male",87,"Outer Regional Australia","New England and North West","Inverell","National or State Highway","No","No","75_or_older","Weekday","Day","Inverell",-29.630052,151.162025,-35.473469,149.012375,5
"New South Wales",20171038,"NSW","Dec",2017,"Monday","6:00","Single","No","No","No","100","Driver","Male",44,"Outer Regional Australia","Riverina","Griffith","Arterial Road","Yes","No","40_to_64","Weekday","Day","Griffith",-34.321422,145.914625,-35.473469,149.012375,5
